vanilla aim at enemy

measurement without profiler: 730 us
profiler overhead: 155 us

self=2.1 (2.1) us, cum=904.2 (904.2) us, calls=1                           src\mod_wot_profiler.py:78 profilerCall()
                          self=2.2 (2.2) us, cum=3.6 (3.6) us, calls=1                               scripts/client/gui/armor_flashlight/battle_controller.py:42 _inputIsBad()
                            self=3.5 (0.3) us, cum=3.5 (0.3) us, calls=10                              ~:0 <isinstance>()
                            self=0.8 (0.8) us, cum=1.3 (1.3) us, calls=1                               scripts/client/AvatarInputHandler/__init__.py:286 ctrlModeName()
                              self=3.4 (0.6) us, cum=3.4 (0.6) us, calls=6                               scripts/client/AvatarInputHandler/aih_global_binding.py:158 __get__()
                          self=2.1 (2.1) us, cum=3.5 (3.5) us, calls=1                               scripts/client/helpers/__init__.py:37 isPlayerAvatar()
                            self=3.0 (1.5) us, cum=3.0 (1.5) us, calls=2                               ~:0 <hasattr>()
                            self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                          self=3.4 (0.6) us, cum=3.4 (0.6) us, calls=6                               scripts/client/AvatarInputHandler/aih_global_binding.py:158 __get__()
                          self=2.8 (2.8) us, cum=2.9 (2.9) us, calls=1                               scripts/client/gui/armor_flashlight/battle_controller.py:48 _collisionIsBad()
                            self=3.5 (0.3) us, cum=3.5 (0.3) us, calls=10                              ~:0 <isinstance>()
                          self=2.3 (0.1) us, cum=2.3 (0.1) us, calls=19                              ~:0 <built-in method player>()
                        self=4.0 (4.0) us, cum=158.8 (158.8) us, calls=1                           scripts/client/gui/Scaleform/daapi/view/battle/shared/crosshair/plugins.py:1318 __onGunMarkerStateChanged()
                          self=1.1 (1.1) us, cum=154.8 (154.8) us, calls=1                           scripts/client/gui/Scaleform/daapi/view/battle/shared/crosshair/plugins.py:1291 _getShotResult()
                            self=2.3 (2.3) us, cum=153.7 (153.7) us, calls=1                           scripts/client/gui/Scaleform/daapi/view/battle/shared/crosshair/plugins.py:1288 _getShotResolverResult()
                              self=25.1 (25.1) us, cum=151.4 (151.4) us, calls=1                         scripts/client/AvatarInputHandler/gun_marker_ctrl.py:310 getShotResult()
                                self=5.9 (5.9) us, cum=54.2 (54.2) us, calls=1                             scripts/client/AvatarInputHandler/gun_marker_ctrl.py:240 _getAllCollisionDetails()
                                  self=15.8 (15.8) us, cum=48.3 (48.3) us, calls=1                           scripts/client/Vehicle.py:1401 collideSegmentExt()
                                    self=5.9 (1.5) us, cum=49.5 (12.4) us, calls=4                             scripts/client/Vehicle.py:1422 getMatinfo()
                                      self=36.1 (9.0) us, cum=39.1 (9.8) us, calls=4                             scripts/client_common/shared_utils/vehicle_utils.py:137 getMatinfo()
