RR aim at terrain optimized

measurement without profiler: 235.2 us
profiler overhead: 50 us

self=1.3 (1.3) us, cum=283.8 (283.8) us, calls=1                           src\mod_wot_profiler.py:84 profilerCall()
      self=4.2 (4.2) us, cum=33.0 (33.0) us, calls=1                             scripts/client/VehicleGunRotator.py:610 __updateShotPointOnServer()
        self=25.6 (25.6) us, cum=27.4 (27.4) us, calls=1                           scripts/client/VehicleGunRotator.py:572 __trackPointOnServer()
          self=1.5 (1.5) us, cum=1.5 (1.5) us, calls=1                               ~:0 <built-in method entity>()
          self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:55 getOwnVehicleStabilisedMatrix()
        self=1.4 (1.4) us, cum=1.4 (1.4) us, calls=1                               scripts/common/items/vehicles.py:1095 __getIsHullAimingAvailable()
      self=2.1 (0.5) us, cum=2.8 (0.7) us, calls=4                               scripts/client/BattleReplay.py:241 <lambda>()
        self=0.7 (0.2) us, cum=0.7 (0.2) us, calls=4                               ~:0 <built-in method isPlaying>()
      self=2.0 (2.0) us, cum=2.3 (2.3) us, calls=1                               scripts/client/VehicleGunRotator.py:547 __getTimeDiff()
        self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
      self=1.4 (1.4) us, cum=2.1 (2.1) us, calls=1                               scripts/client/AvatarInputHandler/__init__.py:660 getAimingMode()
        self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               scripts/client/AvatarInputHandler/control_modes.py:303 getAimingMode()
      self=1.7 (1.7) us, cum=1.7 (1.7) us, calls=1                               scripts/client/BattleReplay.py:819 setGunRotatorTargetPoint()
      self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=8                               ~:0 <built-in method player>()
      self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=7                               ~:0 <built-in method time>()
      self=0.6 (0.6) us, cum=0.6 (0.6) us, calls=1                               ~:0 <built-in method callback>()
      self=0.5 (0.5) us, cum=0.5 (0.5) us, calls=1                               scripts/client/BattleReplay.py:243 <lambda>()
    self=8.8 (8.8) us, cum=38.2 (38.2) us, calls=1                             src\responsive_reticle\helpers\one_tick_cache.py:45 updateCache()
      self=8.1 (8.1) us, cum=8.1 (8.1) us, calls=1                               scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
      self=5.7 (5.7) us, cum=7.5 (7.5) us, calls=1                               src\responsive_reticle\helpers\should_boost_tick_rate.py:19 shouldBoostTickRate()
        self=1.0 (0.2) us, cum=1.0 (0.2) us, calls=5                               src\responsive_reticle\hooks\avatar_hooks.py:37 getVehicleDescriptor()
        self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=8                               ~:0 <built-in method player>()
        self=0.8 (0.4) us, cum=0.8 (0.4) us, calls=2                               scripts/client/AvatarInputHandler/__init__.py:218 <lambda>()
        self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               ~:0 <hasattr>()
      self=4.8 (4.8) us, cum=6.8 (6.8) us, calls=1                               scripts/client/VehicleGunRotator.py:1134 getAvatarOwnVehicleStabilisedMatrix()
        self=2.7 (0.9) us, cum=2.7 (0.9) us, calls=3                               scripts/client/VehicleGunRotator.py:1247 __getTurretStaticYaw()
        self=0.7 (0.3) us, cum=0.7 (0.3) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:19 getVehicleAttached()
        self=0.5 (0.2) us, cum=0.5 (0.2) us, calls=2                               src\responsive_reticle\hooks\avatar_hooks.py:55 getOwnVehicleStabilisedMatrix()
      self=1.6 (1.6) us, cum=3.7 (3.7) us, calls=1                               scripts/client/Avatar.py:3342 getOwnVehicleStabilisedMatrix()
        self=1.0 (1.0) us, cum=2.1 (2.1) us, calls=1                               scripts/client/avatar_components/AvatarObserver.py:180 getObservedVehicleStabilisedMatrix()
          self=2.2 (1.1) us, cum=2.2 (1.1) us, calls=2                               scripts/client/Avatar.py:2726 isObserver()
          self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=8                               ~:0 <built-in method player>()
      self=1.9 (1.9) us, cum=3.1 (3.1) us, calls=1                               scripts/client/Avatar.py:3509 getVehicleDescriptor()
        self=2.2 (1.1) us, cum=2.2 (1.1) us, calls=2                               scripts/client/Avatar.py:2726 isObserver()
      self=0.9 (0.1) us, cum=0.9 (0.1) us, calls=8                               ~:0 <built-in method player>()
