vanilla aim at terrain

measurement without profiler: 450 us
profiler overhead: 150 us

                            self=1.0 (1.0) us, cum=1.0 (1.0) us, calls=1                               ~:0 <hasattr>()
                          self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
                          self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               scripts/client/gui/armor_flashlight/battle_controller.py:48 _collisionIsBad()
                          self=0.3 (0.3) us, cum=0.3 (0.3) us, calls=1                               scripts/client/gui/armor_flashlight/battle_controller.py:274 _stopFlashlight()
                        self=2.0 (2.0) us, cum=8.4 (8.4) us, calls=1                               scripts/client/gui/Scaleform/daapi/view/battle/shared/crosshair/plugins.py:1318 __onGunMarkerStateChanged()
                          self=0.7 (0.7) us, cum=6.4 (6.4) us, calls=1                               scripts/client/gui/Scaleform/daapi/view/battle/shared/crosshair/plugins.py:1291 _getShotResult()
                            self=2.4 (2.4) us, cum=5.7 (5.7) us, calls=1                               scripts/client/gui/Scaleform/daapi/view/battle/shared/crosshair/plugins.py:1288 _getShotResolverResult()
                              self=2.1 (2.1) us, cum=3.3 (3.3) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:310 getShotResult()
                                self=1.2 (1.2) us, cum=1.2 (1.2) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:568 __sendDebugInfo()
                  self=1.4 (1.4) us, cum=1.4 (1.4) us, calls=1                               scripts/client/AvatarInputHandler/aih_global_binding.py:104 _isChanged()
              self=2.9 (2.9) us, cum=3.9 (3.9) us, calls=1                               scripts/client/aih_constants.py:154 fromGunMarkerInfo()
                self=0.7 (0.7) us, cum=1.0 (1.0) us, calls=1                               <string>:8 __new__()
                  self=1.4 (0.7) us, cum=1.4 (0.7) us, calls=2                               ~:0 <built-in method __new__ of type object at 0x00007FFF83FEA260>()
              self=2.4 (0.8) us, cum=2.4 (0.8) us, calls=3                               scripts/client/AvatarInputHandler/aih_global_binding.py:158 __get__()
              self=0.7 (0.7) us, cum=0.7 (0.7) us, calls=1                               scripts/client/AvatarInputHandler/gun_marker_ctrl.py:1049 getSizes()
        self=11.0 (11.0) us, cum=48.9 (48.9) us, calls=1                           scripts/client/VehicleGunRotator.py:1001 __getGunMarkerInfo()
          self=6.8 (6.8) us, cum=30.2 (30.2) us, calls=1                             scripts/client/VehicleGunRotator.py:1077 __getCappedShotTargetInfo()
            self=3.3 (3.3) us, cum=17.2 (17.2) us, calls=1                             scripts/client/AvatarInputHandler/AimingSystems/__init__.py:350 getCappedShotTargetInfos()
              self=13.9 (13.9) us, cum=13.9 (13.9) us, calls=1                           ~:0 <built-in method wg_getCappedShotTargetInfos>()
              self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
            self=2.2 (2.2) us, cum=5.2 (5.2) us, calls=1                               scripts/client_common/ClientArena.py:444 getSpaceBB()
              self=2.2 (2.2) us, cum=2.2 (2.2) us, calls=1                               scripts/client_common/ClientArena.py:783 getMinBounds()
              self=0.8 (0.8) us, cum=0.8 (0.8) us, calls=1                               scripts/client_common/ClientArena.py:786 getMaxBounds()
            self=1.5 (0.1) us, cum=1.5 (0.1) us, calls=13                              ~:0 <built-in method player>()
            self=0.9 (0.9) us, cum=0.9 (0.9) us, calls=1                               scripts/client/VehicleGunRotator.py:977 getAttachedVehicleID()
          self=5.4 (1.4) us, cum=9.7 (2.4) us, calls=4                               scripts/client/Avatar.py:3509 getVehicleDescriptor()
            self=8.8 (1.1) us, cum=8.8 (1.1) us, calls=8                               scripts/client/Avatar.py:2726 isObserver()
          self=4.4 (0.5) us, cum=5.5 (0.6) us, calls=9                               scripts/client/BattleReplay.py:241 <lambda>()
            self=1.1 (0.1) us, cum=1.1 (0.1) us, calls=9                               ~:0 <built-in method isPlaying>()
        self=1.5 (1.5) us, cum=29.6 (29.6) us, calls=1                             scripts/client/VehicleGunRotator.py:412 getCurShotPosition()
          self=13.3 (13.3) us, cum=28.1 (28.1) us, calls=1                           scripts/client/VehicleGunRotator.py:940 __getShotPosition()
            self=6.5 (3.2) us, cum=19.8 (9.9) us, calls=2                              scripts/client/VehicleGunRotator.py:1134 getAvatarOwnVehicleStabilisedMatrix()
              self=20.7 (2.6) us, cum=20.7 (2.6) us, calls=8                             scripts/client/avatar_components/AvatarObserver.py:214 getVehicleAttached()
              self=4.0 (1.3) us, cum=10.7 (3.6) us, calls=3                              scripts/client/Avatar.py:3342 getOwnVehicleStabilisedMatrix()
                self=2.9 (1.0) us, cum=6.7 (2.2) us, calls=3                               scripts/client/avatar_components/AvatarObserver.py:180 getObservedVehicleStabilisedMatrix()
